,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,0,0.66667,95.458,7.4167,0.20833,35.083,2271.1,368.42,23.375,70.958,14.125,13.583,1.7917,4004.5,1.875,1.75,206.04,7.6667,39.375,13.375,48.292,3.5833,258.12,53.958,0.25,75.875,32.292,118.62,3036.8,1703.3,0.41667,4.2917,42.167,86.083,0.66667,0.5,2.125,0.33333,0,0.54167,3.7917,0.91667,4.125,0.875,0.16667,0.5,0.16667,2.125,0.083333,2.9167,0.79167,0.083333,0.29167,0.625,2.875,2,1.3333,23.958,0,2.0417,5.6667,26.625,5.5833,4.1667,0.041667,0,0.58333,2.25
ctx-lh-caudalanteriorcingulate,0.66667,0,49.833,0.29167,1.3333,1.5417,3.9583,3.2083,287.46,1.2083,85.208,2.25,428.08,4.4167,13.167,54.542,125.83,10.917,50.042,0.5,5.8333,1039.1,24.875,400.33,1553.6,281.21,4790,18.375,5.125,3.875,39.417,1.5,0.70833,67.667,0.45833,79.333,41.917,0.16667,0.041667,0.125,2.5,0.5,2.0417,0.41667,18.083,0.125,126.75,1.125,0,5.4167,30.125,4.5417,14.417,0,2.5417,14.833,20.25,5.625,16.458,139.25,440.92,3.3333,0.70833,1.625,29.167,0.20833,0.16667,6.7083
ctx-lh-caudalmiddlefrontal,95.458,49.833,0,6.8333,0.95833,126.83,1043.1,539.29,11.958,102,25.125,6.6667,2.4167,441.12,2.5833,21.625,4053.6,25.917,217.75,5.125,675.71,18.417,7999,127.96,1.625,7405.5,9549.6,580.5,122.62,435.12,2,2.875,7.4167,192.46,3.5417,74.667,527.04,0.5,0.083333,0.79167,29.167,8.25,3.0417,1.3333,2,0.54167,1.9583,15.167,0.25,35.375,179.58,5.375,31,0.20833,14.333,48.417,303.67,42.083,1.7917,232.42,1255.9,32.75,5.2083,14.667,0.91667,0,0.95833,22.958
ctx-lh-cuneus,7.4167,0.29167,6.8333,0,10.333,190.29,154.17,74.458,487.83,3025.9,5.375,1616.5,1.625,54.792,94.625,0.58333,2.2083,0.83333,0.5,12660,1.3333,1.625,3.7917,2822.2,0.125,6.1667,6.75,5611,80.5,4.5,0.20833,3.4583,5.375,39.083,0.79167,0.083333,0.29167,94.5,1.125,34.625,37.875,20.167,64.25,187.79,0.70833,81,0.20833,10.792,8.6667,0.875,0.125,0.16667,0.041667,96.625,0.5,0.95833,0.95833,173.88,0,0.25,2.1667,218.88,10.708,1.5417,0.041667,0.20833,0.95833,8.4167
ctx-lh-entorhinal,0.20833,1.3333,0.95833,10.333,0,375,9.2917,14.958,60.333,19.292,4.5,52.75,2.4583,2.4583,708.21,0.041667,0.625,0.625,0.33333,12.125,0.54167,3.0417,0.95833,50.708,0.375,1.4167,4.4583,18.083,25.792,1.2917,0.25,316.79,0.29167,218.54,0.041667,0.041667,0,2.1667,0.125,0.91667,0.45833,0.33333,1.375,3.4167,0.083333,3.0833,0.20833,0.33333,0.54167,0.25,0.041667,0.041667,0,2.125,0,0.041667,0.041667,3.1667,0,0.083333,0.16667,4.4583,0.29167,0.083333,0,0,0,0.20833
ctx-lh-fusiform,35.083,1.5417,126.83,190.29,375,0,1695.8,4757.9,231.25,8627.8,39.5,4953.6,24.958,346.75,1211.1,0.58333,54.25,6.625,15.417,602.29,33.625,3.5,110.38,235.88,1.0833,84.625,32,1163,195.62,71.458,1.7917,299.54,6.7917,163.54,1.9583,0.58333,2.5417,39.917,0.91667,23.125,41.458,22.375,32.125,89,1.5833,51.125,0.58333,13.25,6.9583,1.375,0.79167,0.20833,0.083333,45.958,1.375,1.6667,2.875,142,0.083333,1.7083,7.0417,154.08,15.875,4.1667,0.083333,0.875,1.6667,9.4167
ctx-lh-inferiorparietal,2271.1,3.9583,1043.1,154.17,9.2917,1695.8,0,3236.7,250.04,6617.3,30.417,137.12,7.6667,5106.5,46.583,11.125,317.5,11.75,51.625,88.375,568.54,16.708,1246.1,1085.7,0.70833,469.96,316.46,17466,990.25,6177.7,1.75,17.833,116.08,310.92,4.875,3.4167,19.5,21.583,0.41667,15.917,72.417,24,49.125,54.875,2,20.75,0.29167,22.583,2.7083,19.708,5.9583,0.625,1.125,24.875,12.875,11.667,34.542,227.79,0.125,9.5833,63.708,276.04,39.625,26.708,0,0.5,4.4583,22.333
ctx-lh-inferiortemporal,368.42,3.2083,539.29,74.458,14.958,4757.9,3236.7,0,134.71,3133.6,57.583,644.17,25,5640.5,96.333,2.125,438.83,21.125,99.417,278.04,128.67,5.6667,648.62,229.79,1.2917,380.12,102.54,575.21,367,747.58,1.8333,312.54,13.75,169.46,3.25,1.25,8.5417,9.4583,0.25,14,53.125,33.042,31.708,37.75,3.25,16.75,0.625,21.25,1.7917,4.9583,2.125,0.20833,0.58333,15.5,4.375,4.2917,6.6667,176.21,0.45833,6.5417,25.958,175.12,26.792,14.125,0.29167,0.79167,2.5833,17
ctx-lh-isthmuscingulate,23.375,287.46,11.958,487.83,60.333,231.25,250.04,134.71,0,417.21,19.292,809.12,56.708,74.292,670.33,54.292,31.5,4.9583,11.25,439.96,29.333,1671.7,29.5,7999.3,117.5,60.708,809.83,1081.5,172.29,174.08,10.292,8.5,33.833,72.25,7.0417,5.875,7.1667,65,1.0833,25.458,87.542,26.042,257,105.62,6.1667,60.708,25.417,29.25,11.583,36.125,3.7083,1.125,2.5833,64.833,18.708,46.417,14.292,500.71,3.9167,22,54.125,370.75,59.292,53.292,4.7083,0.70833,5.625,23.458
ctx-lh-lateraloccipital,70.958,1.2083,102,3025.9,19.292,8627.8,6617.3,3133.6,417.21,0,40.667,4809,13.583,1414.8,107.25,1.0417,32.292,7.875,8.1667,8130.3,34,2.625,86.833,509.46,0.625,61.958,34.167,6939.4,611.5,52.208,1.6667,30.833,16.542,270.62,3.125,0.625,2.25,173.42,2.2917,75.542,99.292,60.25,94.542,458.46,2.7917,162,0.58333,35,14.542,1.6667,0.58333,0.375,0.083333,199.62,1.25,2.3333,3.75,441,0.125,1.6667,9.25,497.54,40.458,6.1667,0.125,1.75,3.4583,24.5
