,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,0,1.1293,75.092,7.4886,0.50898,26.779,635.24,196.54,14.908,46.899,15.095,10.06,3.23,910.52,2.0708,2.1919,102.66,8.7261,31.915,10.541,38.13,4.1485,215.63,39.196,0.44233,43.975,18.558,70.064,731.41,510.36,0.58359,5.8196,37.594,62.505,0.76139,0.72232,1.5126,0.56466,0,0.97709,3.967,1.4421,4.7668,1.2959,0.38069,0.78019,0.56466,2.3278,0.40825,4.0316,0.88363,0.28233,0.55003,0.87539,3.6512,2.9927,1.4039,16.779,0,1.7315,3.0455,16.996,4.3829,3.9306,0.20412,0,1.018,2.1315
ctx-lh-caudalanteriorcingulate,1.1293,0,71.359,0.62409,1.5511,1.8411,2.8814,2.8739,150.72,1.1788,79.257,2.4716,211.77,4.577,10.248,55.748,132.1,12.462,53.274,0.58977,7.716,409.22,25.514,180.02,650.13,202.46,1235.2,13.484,3.1803,3.3662,27.07,2.2842,1.0417,48.366,0.72106,64.883,32.555,0.38069,0.20412,0.33783,2.9043,0.65938,2.0104,0.97431,16.623,0.33783,105.34,1.191,0,5.3154,29.648,3.6113,12.518,0,2.5872,19.767,22.129,3.6453,10.681,64.409,272.44,2.6973,0.85867,1.3772,17.924,0.50898,0.48154,5.7292
ctx-lh-caudalmiddlefrontal,75.092,71.359,0,8.2022,2.0951,125.3,347.27,396.9,9.8311,81.421,21.018,5.7231,2.977,306,2.3575,22.757,1231.5,21.54,122.43,6.5827,278.99,15.354,1779.1,95.352,2.143,1801.4,2491.2,257.8,110.74,292.29,2.4137,3.6393,5.8154,161.75,3.7991,54.482,226.94,0.78019,0.28233,1.2847,19.309,7.9194,3.1413,1.8098,2.4672,1.0206,2.255,14.82,0.53161,32.593,84.866,4.1369,18.226,0.50898,12.394,75.647,224.34,30.432,1.8411,127.81,448.76,19.159,5.5166,8.3701,1.2482,0,1.3345,25.962
ctx-lh-cuneus,7.4886,0.62409,8.2022,0,9.9724,89.697,102.89,44.921,256.85,1075.7,5.3472,663.73,1.974,29.877,53.397,2.0624,2.3953,1.1293,0.72232,2178.6,1.9035,3.3984,5.8457,863.73,0.33783,6.4314,6.8414,1538.2,39.335,3.0072,0.41485,3.1065,4.7531,22.161,0.88363,0.28233,0.62409,53.525,1.3613,21.437,24.006,18.367,39.036,117.22,0.99909,45.638,0.50898,9.2312,7.3109,1.5126,0.44843,0.56466,0.20412,38.296,0.72232,2.0743,1.6011,87.95,0,0.53161,1.9486,82.799,8.2435,1.2847,0.20412,0.50898,1.1971,5.3724
ctx-lh-entorhinal,0.50898,1.5511,2.0951,9.9724,0,198.27,15.988,16.414,68.03,20.735,7.1323,34.18,4.606,2.9632,468.45,0.20412,1.2446,1.6369,0.63702,12.037,1.6676,2.458,2.6618,35.907,0.71094,2.2442,3.2434,13.909,63.425,1.9219,0.67566,245.04,0.62409,141.92,0.20412,0.20412,0,2.8387,0.33783,1.1765,0.88363,0.63702,2.143,4.1485,0.28233,4.138,0.50898,0.70196,1.0624,0.60792,0.20412,0.20412,0,3.2878,0,0.20412,0.20412,2.9142,0,0.40825,0.48154,3.8784,0.62409,0.28233,0,0,0,0.41485
ctx-lh-fusiform,26.779,1.8411,125.3,89.697,198.27,0,642.2,1201.8,209.45,1975.2,25.417,1305.6,23.707,147.93,458.15,0.88055,44.032,6.2819,22.965,387.53,28.936,2.3031,76.162,121.94,1.3486,39.701,23.116,392.88,91.616,49.724,2.2646,189.32,4.5395,83.834,2.6618,0.71728,2.1865,32.326,1.4421,22.489,38.902,29.431,28.123,85.438,3.2292,49.554,1.018,13.823,6.9625,1.3453,1.1788,0.50898,0.28233,39.559,1.9519,1.8572,2.3831,122.87,0.28233,1.8292,5.2625,103.83,14.278,3.691,0.28233,2.3464,2.0782,8.4076
ctx-lh-inferiorparietal,635.24,2.8814,347.27,102.89,15.988,642.2,0,1001.6,189.57,1465.7,28.594,68.677,7.5623,1369,30.255,9.028,215.78,11.588,49.364,59.362,363.07,17.807,534.81,686.92,0.99909,299.37,218.05,3045.9,421.85,1494.1,2.6416,17.051,103.01,149.25,4.8122,3.1885,9.5917,13.256,0.77553,10.321,91.711,21.238,29.82,36.015,2.1669,16.85,0.55003,18.036,2.2742,17.714,5.0603,0.96965,1.1156,13.261,10.066,10.383,28.382,150.5,0.33783,6.507,32.269,230.9,29.662,20.109,0,0.83406,4.0752,21.673
ctx-lh-inferiortemporal,196.54,2.8739,396.9,44.921,16.414,1201.8,1001.6,0,93.7,829.26,40.69,222.76,27.451,1062.7,148.7,2.1931,222.54,17.19,81.27,155.97,63.404,4.896,272.63,163.84,1.8992,215.68,30.936,243.91,171.07,301.09,1.8098,261.59,12.026,78.935,3.1931,1.3593,7.3068,6.9843,0.53161,16.035,58.151,54.119,30.407,38.216,5.4073,19.594,1.0555,26.443,1.6934,5.8345,2.1531,0.41485,0.92861,13.536,3.8086,7.3217,5.7835,179.12,0.65801,4.9605,16.688,197.86,25.176,13.463,0.62409,1.6146,2.5524,16.264
ctx-lh-isthmuscingulate,14.908,150.72,9.8311,256.85,68.03,209.45,189.57,93.7,0,215.53,16.977,359.62,43.444,35.299,389.32,142.51,21.49,4.8137,7.8366,213.37,40.955,619.8,46.635,1457.1,102.11,31.207,294.93,457.84,98.054,137.89,6.9999,6.7631,22.77,44.029,5.6835,4.7941,6.8504,47.691,1.8158,16.498,73.369,26.133,125.69,59.722,5.1892,49.603,33.725,19.252,18.168,47.686,2.8814,1.4238,1.6918,44.412,21.505,43.785,27.746,207.89,5.5319,10.931,39.221,206.74,41.125,33.935,4.7041,1.2329,3.8653,14.629
ctx-lh-lateraloccipital,46.899,1.1788,81.421,1075.7,20.735,1975.2,1465.7,829.26,215.53,0,27.764,1396.4,10.232,602.12,59.339,1.0826,22.455,7.8536,6.267,1863.3,43.602,1.8133,77.709,220.14,0.92372,32.592,21.256,2025.9,259.31,36.658,2.1196,25.921,15.973,112.37,3.9377,0.6469,1.7998,140.24,3.2501,57.263,72.384,80.007,54.02,527.71,3.1482,142.39,0.88055,34.865,10.446,1.9927,0.8297,0.6469,0.28233,141.35,1.6746,1.8337,3.0963,357.39,0.33783,2.2586,6.5359,298.57,41.799,5.2309,0.33783,2.3266,4.2424,22.504
